WKT,name,description
"LINESTRING (123.9132185 10.3521906, 123.9132515 10.3521833)",026_057,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NyIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.9131282 10.3518996, 123.9131235 10.3518831)",044_045,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NSIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.9128684 10.3519454, 123.9128728 10.3519635)",048_049,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0OCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0OSIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.9132428 10.3521506, 123.9132515 10.3521833)",056_057,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NiIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.9133226 10.3521658, 123.9133141 10.3521329)",054_055,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NCIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.912878 10.352386, 123.913035 10.352349)",012_016,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNiIsICJjb3N0X21ldGVycyI6IDE4LCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDE4fQ==
"LINESTRING (123.912852 10.352278, 123.9128418 10.3522307)",013_050,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MCIsICJjb3N0X21ldGVycyI6IDUsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNX0=
"LINESTRING (123.913035 10.352349, 123.9133807 10.3522673)",016_024,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNCIsICJjb3N0X21ldGVycyI6IDM5LCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDM5fQ==
"LINESTRING (123.913547 10.352348, 123.913524 10.352257)",006_002,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMiIsICJjb3N0X21ldGVycyI6IDEwLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEwfQ==
"LINESTRING (123.913502 10.352261, 123.913524 10.352257)",002_001,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMiIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.913524 10.352257, 123.913518 10.352235)",002_011,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMiIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.913518 10.352235, 123.913491 10.352126)",011_010,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMCIsICJjb3N0X21ldGVycyI6IDEyLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEyfQ==
"LINESTRING (123.913491 10.352126, 123.913473 10.352054)",010_018,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxOCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMCIsICJjb3N0X21ldGVycyI6IDgsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogOH0=
"LINESTRING (123.913473 10.352054, 123.913452 10.35197)",018_004,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxOCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNCIsICJjb3N0X21ldGVycyI6IDEwLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEwfQ==
"LINESTRING (123.913424 10.351979, 123.913452 10.35197)",005_004,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNCIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.913556 10.351944, 123.913452 10.35197)",004_003,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNCIsICJjb3N0X21ldGVycyI6IDEyLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEyfQ==
