WKT,name,description
"POINT (123.913502 10.352261)",BUNZEL_A01_001,eyJpZCI6ICJCVU5aRUxfQTAxXzAwMSIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
"POINT (123.913524 10.352257)",BUNZEL_A01_002,eyJpZCI6ICJCVU5aRUxfQTAxXzAwMiIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
"POINT (123.913556 10.351944)",BUNZEL_A01_003,eyJpZCI6ICJCVU5aRUxfQTAxXzAwMyIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
"POINT (123.913452 10.35197)",BUNZEL_A01_004,eyJpZCI6ICJCVU5aRUxfQTAxXzAwNCIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
"POINT (123.913424 10.351979)",BUNZEL_A01_005,eyJpZCI6ICJCVU5aRUxfQTAxXzAwNSIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
"POINT (123.9135463 10.352347)",BUNZEL_A01_006,eyJpZCI6ICJCVU5aRUxfQTAxXzAwNiIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
"POINT (123.913374 10.351658)",BUNZEL_A01_007,eyJpZCI6ICJCVU5aRUxfQTAxXzAwNyIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
"POINT (123.91339 10.351723)",BUNZEL_A01_008,eyJpZCI6ICJCVU5aRUxfQTAxXzAwOCIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
"POINT (123.9134127 10.351813)",BUNZEL_A01_009,eyJpZCI6ICJCVU5aRUxfQTAxXzAwOSIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
"POINT (123.913491 10.352126)",BUNZEL_A01_010,eyJpZCI6ICJCVU5aRUxfQTAxXzAxMCIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2UifQ==
